,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,english skills
0,female,group B,bachelor's degree,standard,0,72,72,74,146
1,female,group C,some college,standard,1,69,90,88,178
2,female,group B,master's degree,standard,0,90,95,93,188
3,male,group A,associate's degree,free/reduced,0,47,57,44,101
4,male,group C,some college,standard,0,76,78,75,153
5,female,group B,associate's degree,standard,0,71,83,78,161
6,female,group B,some college,standard,1,88,95,92,187
7,male,group B,some college,free/reduced,0,40,43,39,82
8,male,group D,high school,free/reduced,1,64,64,67,131
9,female,group B,high school,free/reduced,0,38,60,50,110
10,male,group C,associate's degree,standard,0,58,54,52,106
11,male,group D,associate's degree,standard,0,40,52,43,95
12,female,group B,high school,standard,0,65,81,73,154
13,male,group A,some college,standard,1,78,72,70,142
14,female,group A,master's degree,standard,0,50,53,58,111
15,female,group C,some high school,standard,0,69,75,78,153
16,male,group C,high school,standard,0,88,89,86,175
17,female,group B,some high school,free/reduced,0,18,32,28,60
18,male,group C,master's degree,free/reduced,1,46,42,46,88
19,female,group C,associate's degree,free/reduced,0,54,58,61,119
20,male,group D,high school,standard,0,66,69,63,132
21,female,group B,some college,free/reduced,1,65,75,70,145
22,male,group D,some college,standard,0,44,54,53,107
23,female,group C,some high school,standard,0,69,73,73,146
24,male,group D,bachelor's degree,free/reduced,1,74,71,80,151
25,male,group A,master's degree,free/reduced,0,73,74,72,146
26,male,group B,some college,standard,0,69,54,55,109
27,female,group C,bachelor's degree,standard,0,67,69,75,144
28,male,group C,high school,standard,0,70,70,65,135
29,female,group D,master's degree,standard,0,62,70,75,145
30,female,group D,some college,standard,0,69,74,74,148
31,female,group B,some college,standard,0,63,65,61,126
32,female,group E,master's degree,free/reduced,0,56,72,65,137
33,male,group D,some college,standard,0,40,42,38,80
34,male,group E,some college,standard,0,97,87,82,169
35,male,group E,associate's degree,standard,1,81,81,79,160
36,female,group D,associate's degree,standard,0,74,81,83,164
37,female,group D,some high school,free/reduced,0,50,64,59,123
38,female,group D,associate's degree,free/reduced,1,75,90,88,178
39,male,group B,associate's degree,free/reduced,0,57,56,57,113
40,male,group C,associate's degree,free/reduced,0,55,61,54,115
41,female,group C,associate's degree,standard,0,58,73,68,141
42,female,group B,associate's degree,standard,0,53,58,65,123
43,male,group B,some college,free/reduced,1,59,65,66,131
44,female,group E,associate's degree,free/reduced,0,50,56,54,110
45,male,group B,associate's degree,standard,0,65,54,57,111
46,female,group A,associate's degree,standard,1,55,65,62,127
47,female,group C,high school,standard,0,66,71,76,147
48,female,group D,associate's degree,free/reduced,1,57,74,76,150
49,male,group C,high school,standard,1,82,84,82,166
50,male,group E,some college,standard,0,53,55,48,103
51,male,group E,associate's degree,free/reduced,1,77,69,68,137
52,male,group C,some college,standard,0,53,44,42,86
53,male,group D,high school,standard,0,88,78,75,153
54,female,group C,some high school,free/reduced,1,71,84,87,171
55,female,group C,high school,free/reduced,0,33,41,43,84
56,female,group E,associate's degree,standard,1,82,85,86,171
57,male,group D,associate's degree,standard,0,52,55,49,104
58,male,group D,some college,standard,1,58,59,58,117
59,female,group C,some high school,free/reduced,0,0,17,10,27
60,male,group E,bachelor's degree,free/reduced,1,79,74,72,146
61,male,group A,some high school,free/reduced,0,39,39,34,73
62,male,group A,associate's degree,free/reduced,0,62,61,55,116
63,female,group C,associate's degree,standard,0,69,80,71,151
64,female,group D,some high school,standard,0,59,58,59,117
65,male,group B,some high school,standard,0,67,64,61,125
66,male,group D,some high school,free/reduced,0,45,37,37,74
67,female,group C,some college,standard,0,60,72,74,146
68,male,group B,associate's degree,free/reduced,0,61,58,56,114
69,female,group C,associate's degree,standard,0,39,64,57,121
70,female,group D,some college,free/reduced,1,58,63,73,136
71,male,group D,some college,standard,1,63,55,63,118
72,female,group A,associate's degree,free/reduced,0,41,51,48,99
73,male,group C,some high school,free/reduced,0,61,57,56,113
74,male,group C,some high school,standard,0,49,49,41,90
75,male,group B,associate's degree,free/reduced,0,44,41,38,79
76,male,group E,some high school,standard,0,30,26,22,48
77,male,group A,bachelor's degree,standard,1,80,78,81,159
78,female,group D,some high school,standard,1,61,74,72,146
79,female,group E,master's degree,standard,0,62,68,68,136
80,female,group B,associate's degree,standard,0,47,49,50,99
81,male,group B,high school,free/reduced,0,49,45,45,90
82,male,group A,some college,free/reduced,1,50,47,54,101
83,male,group E,associate's degree,standard,0,72,64,63,127
84,male,group D,high school,free/reduced,0,42,39,34,73
85,female,group C,some college,standard,0,73,80,82,162
86,female,group C,some college,free/reduced,0,76,83,88,171
87,female,group D,associate's degree,standard,0,71,71,74,145
88,female,group A,some college,standard,0,58,70,67,137
89,female,group D,some high school,standard,0,73,86,82,168
90,female,group C,bachelor's degree,standard,0,65,72,74,146
91,male,group C,high school,free/reduced,0,27,34,36,70
92,male,group C,high school,standard,0,71,79,71,150
93,male,group C,associate's degree,free/reduced,1,43,45,50,95
94,female,group B,some college,standard,0,79,86,92,178
95,male,group C,associate's degree,free/reduced,1,78,81,82,163
96,male,group B,some high school,standard,1,65,66,62,128
97,female,group E,some college,standard,1,63,72,70,142
98,female,group D,some college,free/reduced,0,58,67,62,129
99,female,group D,bachelor's degree,standard,0,65,67,62,129
100,male,group B,some college,standard,0,79,67,67,134
101,male,group D,bachelor's degree,standard,1,68,74,74,148
102,female,group D,associate's degree,standard,0,85,91,89,180
103,male,group B,high school,standard,1,60,44,47,91
104,male,group C,some college,standard,1,98,86,90,176
105,female,group C,some college,standard,0,58,67,72,139
106,female,group D,master's degree,standard,0,87,100,100,200
107,male,group E,associate's degree,standard,1,66,63,64,127
108,female,group B,associate's degree,free/reduced,0,52,76,70,146
109,female,group B,some high school,standard,0,70,64,72,136
110,female,group D,associate's degree,free/reduced,1,77,89,98,187
111,male,group C,high school,standard,0,62,55,49,104
112,male,group A,associate's degree,standard,0,54,53,47,100
113,female,group D,some college,standard,0,51,58,54,112
114,female,group E,bachelor's degree,standard,1,99,100,100,200
115,male,group C,high school,standard,0,84,77,74,151
116,female,group B,bachelor's degree,free/reduced,0,75,85,82,167
117,female,group D,bachelor's degree,standard,0,78,82,79,161
118,female,group D,some high school,standard,0,51,63,61,124
119,female,group C,some college,standard,0,55,69,65,134
120,female,group C,bachelor's degree,standard,1,79,92,89,181
121,male,group B,associate's degree,standard,1,91,89,92,181
122,female,group C,some college,standard,1,88,93,93,186
123,male,group D,high school,free/reduced,0,63,57,56,113
124,male,group E,some college,standard,0,83,80,73,153
125,female,group B,high school,standard,0,87,95,86,181
126,male,group B,some high school,standard,0,72,68,67,135
127,male,group D,some college,standard,1,65,77,74,151
128,male,group D,master's degree,standard,0,82,82,74,156
129,female,group A,bachelor's degree,standard,0,51,49,51,100
130,male,group D,master's degree,standard,0,89,84,82,166
131,male,group C,some high school,free/reduced,1,53,37,40,77
132,male,group E,some college,free/reduced,1,87,74,70,144
133,female,group C,some college,standard,1,75,81,84,165
134,male,group D,bachelor's degree,free/reduced,1,74,79,75,154
135,male,group C,bachelor's degree,standard,0,58,55,48,103
136,male,group B,some high school,standard,1,51,54,41,95
137,male,group E,high school,standard,0,70,55,56,111
138,female,group C,associate's degree,standard,0,59,66,67,133
139,male,group D,some college,standard,1,71,61,69,130
140,female,group D,some high school,standard,0,76,72,71,143
141,female,group C,some college,free/reduced,0,59,62,64,126
142,female,group E,some college,free/reduced,1,42,55,54,109
143,male,group A,high school,standard,0,57,43,47,90
144,male,group D,some college,standard,0,88,73,78,151
145,female,group C,some college,free/reduced,0,22,39,33,72
146,male,group B,some high school,standard,0,88,84,75,159
147,male,group C,associate's degree,free/reduced,0,73,68,66,134
148,female,group D,bachelor's degree,standard,1,68,75,81,156
149,male,group E,associate's degree,free/reduced,1,100,100,93,193
150,male,group A,some high school,standard,1,62,67,69,136
151,male,group A,bachelor's degree,standard,0,77,67,68,135
152,female,group B,associate's degree,standard,1,59,70,66,136
153,male,group D,bachelor's degree,standard,0,54,49,47,96
154,male,group D,some high school,standard,0,62,67,61,128
155,female,group C,some college,standard,1,70,89,88,177
156,female,group E,high school,free/reduced,1,66,74,78,152
157,male,group B,some college,free/reduced,0,60,60,60,120
158,female,group B,associate's degree,standard,1,61,86,87,173
159,male,group D,associate's degree,free/reduced,0,66,62,64,126
160,male,group B,associate's degree,free/reduced,1,82,78,74,152
161,female,group E,some college,free/reduced,1,75,88,85,173
162,male,group B,master's degree,free/reduced,0,49,53,52,105
163,male,group C,high school,standard,0,52,53,49,102
164,female,group E,master's degree,standard,0,81,92,91,183
165,female,group C,bachelor's degree,standard,1,96,100,100,200
166,male,group C,high school,free/reduced,1,53,51,51,102
167,female,group B,master's degree,free/reduced,1,58,76,78,154
168,female,group B,high school,standard,1,68,83,78,161
169,female,group C,some college,free/reduced,1,67,75,70,145
170,male,group A,high school,standard,1,72,73,74,147
171,male,group E,some high school,standard,0,94,88,78,166
172,female,group D,some college,standard,0,79,86,81,167
173,female,group C,associate's degree,standard,0,63,67,70,137
174,female,group C,bachelor's degree,free/reduced,1,43,51,54,105
175,female,group C,master's degree,standard,1,81,91,87,178
176,female,group B,high school,free/reduced,1,46,54,58,112
177,female,group C,associate's degree,standard,1,71,77,77,154
178,female,group B,master's degree,free/reduced,1,52,70,62,132
179,female,group D,some high school,standard,1,97,100,100,200
180,male,group C,master's degree,free/reduced,1,62,68,75,143
181,female,group C,some college,free/reduced,0,46,64,66,130
182,female,group E,high school,standard,0,50,50,47,97
183,female,group D,associate's degree,standard,0,65,69,70,139
184,male,group C,some high school,free/reduced,1,45,52,49,101
185,male,group C,associate's degree,free/reduced,1,65,67,65,132
186,male,group E,high school,standard,0,80,76,65,141
187,male,group D,some high school,standard,1,62,66,68,134
188,male,group B,some high school,free/reduced,0,48,52,45,97
189,female,group C,bachelor's degree,standard,0,77,88,87,175
190,female,group E,associate's degree,standard,0,66,65,69,134
191,male,group D,some college,standard,1,76,83,79,162
192,female,group B,some high school,standard,0,62,64,66,130
193,male,group D,some college,standard,1,77,62,62,124
194,female,group C,master's degree,standard,1,69,84,85,169
195,male,group D,associate's degree,standard,0,61,55,52,107
196,male,group C,some high school,free/reduced,1,59,69,65,134
197,male,group E,high school,free/reduced,0,55,56,51,107
198,female,group B,some college,free/reduced,0,45,53,55,108
199,female,group B,bachelor's degree,free/reduced,0,78,79,76,155
200,female,group C,associate's degree,standard,1,67,84,86,170
201,female,group D,some college,free/reduced,0,65,81,77,158
202,male,group C,associate's degree,standard,0,69,77,69,146
203,female,group B,associate's degree,standard,0,57,69,68,137
204,male,group C,some college,standard,0,59,41,42,83
205,male,group D,some high school,standard,1,74,71,78,149
206,male,group E,bachelor's degree,standard,0,82,62,62,124
207,male,group E,high school,standard,1,81,80,76,156
208,female,group B,some college,free/reduced,0,74,81,76,157
209,female,group B,some college,free/reduced,0,58,61,66,127
210,male,group D,some high school,free/reduced,1,80,79,79,158
211,male,group C,some college,free/reduced,0,35,28,27,55
212,female,group C,high school,free/reduced,0,42,62,60,122
213,male,group C,associate's degree,free/reduced,1,60,51,56,107
214,male,group E,high school,standard,1,87,91,81,172
215,male,group B,some high school,standard,1,84,83,75,158
216,female,group E,associate's degree,free/reduced,1,83,86,88,174
217,female,group C,high school,free/reduced,0,34,42,39,81
218,male,group B,high school,free/reduced,0,66,77,70,147
219,male,group B,some high school,standard,1,61,56,56,112
220,female,group D,high school,standard,1,56,68,74,142
221,male,group B,associate's degree,standard,0,87,85,73,158
222,female,group C,some high school,free/reduced,0,55,65,62,127
223,male,group D,some high school,standard,0,86,80,75,155
224,female,group B,associate's degree,standard,1,52,66,73,139
225,female,group E,master's degree,free/reduced,0,45,56,54,110
226,female,group C,some college,standard,0,72,72,71,143
227,male,group D,high school,standard,0,57,50,54,104
228,male,group A,some high school,free/reduced,0,68,72,64,136
229,female,group C,some college,standard,1,88,95,94,189
230,male,group D,some college,standard,0,76,64,66,130
231,male,group C,associate's degree,standard,0,46,43,42,85
232,female,group B,bachelor's degree,standard,0,67,86,83,169
233,male,group E,some high school,standard,0,92,87,78,165
234,male,group C,bachelor's degree,standard,1,83,82,84,166
235,male,group D,associate's degree,standard,0,80,75,77,152
236,male,group D,bachelor's degree,free/reduced,0,63,66,67,133
237,female,group D,some high school,standard,1,64,60,74,134
238,male,group B,some college,standard,0,54,52,51,103
239,male,group C,associate's degree,standard,0,84,80,80,160
240,male,group D,high school,free/reduced,1,73,68,66,134
241,female,group E,bachelor's degree,standard,0,80,83,83,166
242,female,group D,high school,standard,0,56,52,55,107
243,male,group E,some college,standard,0,59,51,43,94
244,male,group D,some high school,standard,0,75,74,69,143
245,male,group C,associate's degree,standard,0,85,76,71,147
246,male,group E,associate's degree,standard,0,89,76,74,150
247,female,group B,high school,standard,1,58,70,68,138
248,female,group B,high school,standard,0,65,64,62,126
249,male,group C,high school,standard,0,68,60,53,113
250,male,group A,some high school,standard,1,47,49,49,98
251,female,group D,some college,free/reduced,0,71,83,83,166
252,female,group B,some high school,standard,1,60,70,70,140
253,male,group D,master's degree,standard,0,80,80,72,152
254,male,group D,high school,standard,0,54,52,52,104
255,female,group E,some college,standard,0,62,73,70,143
256,female,group C,associate's degree,free/reduced,0,64,73,68,141
257,male,group C,associate's degree,standard,1,78,77,77,154
258,female,group B,some college,standard,0,70,75,78,153
259,female,group C,master's degree,free/reduced,1,65,81,81,162
260,female,group C,some high school,free/reduced,1,64,79,77,156
261,male,group C,some college,standard,1,79,79,78,157
262,female,group C,some high school,free/reduced,0,44,50,51,101
263,female,group E,high school,standard,0,99,93,90,183
264,male,group D,high school,standard,0,76,73,68,141
265,male,group D,some high school,free/reduced,0,59,42,41,83
266,female,group C,bachelor's degree,standard,0,63,75,81,156
267,female,group D,high school,standard,0,69,72,77,149
268,female,group D,associate's degree,standard,1,88,92,95,187
269,female,group E,some college,free/reduced,0,71,76,70,146
270,male,group C,bachelor's degree,standard,0,69,63,61,124
271,male,group C,some college,standard,0,58,49,42,91
272,female,group D,associate's degree,free/reduced,0,47,53,58,111
273,female,group D,some college,standard,0,65,70,71,141
274,male,group B,some college,standard,1,88,85,76,161
275,male,group C,bachelor's degree,standard,0,83,78,73,151
276,female,group C,some high school,standard,1,85,92,93,185
277,female,group E,high school,standard,1,59,63,75,138
278,female,group C,some high school,free/reduced,0,65,86,80,166
279,male,group B,bachelor's degree,free/reduced,0,73,56,57,113
280,male,group D,high school,standard,0,53,52,42,94
281,male,group D,high school,standard,0,45,48,46,94
282,female,group D,bachelor's degree,free/reduced,0,73,79,84,163
283,female,group D,some college,free/reduced,1,70,78,78,156
284,female,group B,some high school,standard,0,37,46,46,92
285,male,group B,associate's degree,standard,1,81,82,82,164
286,male,group E,associate's degree,standard,1,97,82,88,170
287,female,group B,some high school,standard,0,67,89,82,171
288,male,group B,bachelor's degree,free/reduced,0,88,75,76,151
289,male,group E,some high school,standard,1,77,76,77,153
290,male,group C,associate's degree,standard,0,76,70,68,138
291,male,group D,some high school,standard,0,86,73,70,143
292,male,group C,some high school,standard,1,63,60,57,117
293,female,group E,bachelor's degree,standard,0,65,73,75,148
294,male,group D,high school,free/reduced,1,78,77,80,157
295,male,group B,associate's degree,free/reduced,0,67,62,60,122
296,male,group A,some high school,standard,1,46,41,43,84
297,male,group E,associate's degree,standard,1,71,74,68,142
298,male,group C,high school,free/reduced,1,40,46,50,96
299,male,group D,associate's degree,free/reduced,0,90,87,75,162
300,male,group A,some college,free/reduced,1,81,78,81,159
301,male,group D,some high school,free/reduced,0,56,54,52,106
302,female,group C,associate's degree,standard,1,67,84,81,165
303,male,group B,associate's degree,standard,0,80,76,64,140
304,female,group C,associate's degree,standard,1,74,75,83,158
305,male,group A,some college,standard,0,69,67,69,136
306,male,group E,some college,standard,1,99,87,81,168
307,male,group C,some high school,standard,0,51,52,44,96
308,female,group B,associate's degree,free/reduced,0,53,71,67,138
309,female,group D,high school,free/reduced,0,49,57,52,109
310,female,group B,associate's degree,standard,0,73,76,80,156
311,male,group B,bachelor's degree,standard,0,66,60,57,117
312,male,group D,bachelor's degree,standard,1,67,61,68,129
313,female,group C,associate's degree,free/reduced,1,68,67,69,136
314,female,group C,bachelor's degree,standard,1,59,64,75,139
315,male,group C,high school,standard,0,71,66,65,131
316,female,group D,master's degree,standard,1,77,82,91,173
317,male,group C,associate's degree,standard,0,83,72,78,150
318,male,group B,bachelor's degree,standard,0,63,71,69,140
319,female,group D,associate's degree,free/reduced,0,56,65,63,128
320,female,group C,high school,free/reduced,1,67,79,84,163
321,female,group E,high school,standard,0,75,86,79,165
322,female,group C,some college,standard,0,71,81,80,161
323,female,group C,some high school,free/reduced,0,43,53,53,106
324,female,group C,high school,free/reduced,0,41,46,43,89
325,female,group C,some college,standard,0,82,90,94,184
326,male,group C,some college,standard,0,61,61,62,123
327,male,group A,some college,free/reduced,0,28,23,19,42
328,male,group C,associate's degree,standard,1,82,75,77,152
329,female,group B,some high school,standard,0,41,55,51,106
330,male,group C,high school,standard,0,71,60,61,121
331,male,group C,associate's degree,standard,0,47,37,35,72
332,male,group E,associate's degree,standard,1,62,56,53,109
333,male,group B,associate's degree,standard,0,90,78,81,159
334,female,group C,bachelor's degree,standard,0,83,93,95,188
335,female,group B,some college,free/reduced,0,61,68,66,134
336,male,group D,some high school,standard,1,76,70,69,139
337,male,group C,associate's degree,standard,0,49,51,43,94
338,female,group B,some high school,free/reduced,0,24,38,27,65
339,female,group D,some high school,free/reduced,1,35,55,60,115
340,male,group C,high school,free/reduced,0,58,61,52,113
341,female,group C,high school,standard,0,61,73,63,136
342,female,group B,high school,standard,1,69,76,74,150
343,male,group D,associate's degree,standard,1,67,72,67,139
344,male,group D,some college,standard,0,79,73,67,140
345,female,group C,high school,standard,0,72,80,75,155
346,male,group B,some college,standard,0,62,61,57,118
347,female,group C,bachelor's degree,standard,1,77,94,95,189
348,male,group D,high school,free/reduced,0,75,74,66,140
349,male,group E,associate's degree,standard,0,87,74,76,150
350,female,group B,bachelor's degree,standard,0,52,65,69,134
351,male,group E,some college,standard,0,66,57,52,109
352,female,group C,some college,standard,1,63,78,80,158
353,female,group C,associate's degree,standard,0,46,58,57,115
354,female,group C,some college,standard,0,59,71,70,141
355,female,group B,bachelor's degree,standard,0,61,72,70,142
356,male,group A,associate's degree,standard,0,63,61,61,122
357,female,group C,some college,free/reduced,1,42,66,69,135
358,male,group D,some college,free/reduced,0,59,62,61,123
359,female,group D,some college,standard,0,80,90,89,179
360,female,group B,high school,standard,0,58,62,59,121
361,male,group B,some high school,standard,1,85,84,78,162
362,female,group C,some college,standard,0,52,58,58,116
363,female,group D,some high school,free/reduced,0,27,34,32,66
364,male,group C,some college,standard,0,59,60,58,118
365,male,group A,bachelor's degree,free/reduced,1,49,58,60,118
366,male,group C,high school,standard,1,69,58,53,111
367,male,group C,bachelor's degree,free/reduced,0,61,66,61,127
368,female,group A,some high school,free/reduced,0,44,64,58,122
369,female,group D,some high school,standard,0,73,84,85,169
370,male,group E,some college,standard,0,84,77,71,148
371,female,group C,some college,free/reduced,1,45,73,70,143
372,male,group D,some high school,standard,0,74,74,72,146
373,female,group D,some college,standard,1,82,97,96,193
374,female,group D,bachelor's degree,standard,0,59,70,73,143
375,male,group E,associate's degree,free/reduced,0,46,43,41,84
376,female,group D,some high school,standard,0,80,90,82,172
377,female,group D,master's degree,free/reduced,1,85,95,100,195
378,female,group A,some high school,standard,0,71,83,77,160
379,male,group A,bachelor's degree,standard,0,66,64,62,126
380,female,group B,associate's degree,standard,0,80,86,83,169
381,male,group C,associate's degree,standard,1,87,100,95,195
382,male,group C,master's degree,free/reduced,0,79,81,71,152
383,female,group E,some high school,free/reduced,0,38,49,45,94
384,female,group A,some high school,free/reduced,0,38,43,43,86
385,female,group E,some college,standard,0,67,76,75,151
386,female,group E,bachelor's degree,standard,0,64,73,70,143
387,female,group C,associate's degree,free/reduced,0,57,78,67,145
388,female,group D,high school,standard,0,62,64,64,128
389,male,group D,master's degree,standard,0,73,70,75,145
390,male,group E,some high school,free/reduced,1,73,67,59,126
391,female,group D,some college,standard,0,77,68,77,145
392,male,group E,some college,standard,0,76,67,67,134
393,male,group C,associate's degree,standard,1,57,54,56,110
394,female,group C,some high school,standard,1,65,74,77,151
395,male,group A,high school,free/reduced,0,48,45,41,86
396,female,group B,high school,free/reduced,0,50,67,63,130
397,female,group C,associate's degree,standard,0,85,89,95,184
398,male,group B,some high school,standard,0,74,63,57,120
399,male,group D,some high school,standard,0,60,59,54,113
400,female,group C,some high school,standard,1,59,54,67,121
401,male,group A,some college,standard,0,53,43,43,86
402,female,group A,some college,free/reduced,0,49,65,55,120
403,female,group D,high school,standard,1,88,99,100,199
404,female,group C,high school,standard,0,54,59,62,121
405,female,group C,some high school,standard,0,63,73,68,141
406,male,group B,associate's degree,standard,1,65,65,63,128
407,female,group B,associate's degree,standard,0,82,80,77,157
408,female,group D,high school,free/reduced,1,52,57,56,113
409,male,group D,associate's degree,standard,1,87,84,85,169
410,female,group D,master's degree,standard,1,70,71,74,145
411,male,group E,some college,standard,1,84,83,78,161
412,male,group D,associate's degree,standard,0,71,66,60,126
413,male,group B,some high school,standard,1,63,67,67,134
414,female,group C,bachelor's degree,free/reduced,1,51,72,79,151
415,male,group E,high school,standard,0,84,73,69,142
416,male,group C,bachelor's degree,standard,1,71,74,68,142
417,male,group C,associate's degree,standard,0,74,73,67,140
418,male,group D,some college,standard,0,68,59,62,121
419,male,group E,high school,free/reduced,1,57,56,54,110
420,female,group C,associate's degree,free/reduced,1,82,93,93,186
421,female,group D,high school,standard,1,57,58,64,122
422,female,group D,master's degree,free/reduced,1,47,58,67,125
423,female,group A,some high school,standard,1,59,85,80,165
424,male,group B,some college,free/reduced,0,41,39,34,73
425,female,group C,some college,free/reduced,0,62,67,62,129
426,male,group C,bachelor's degree,standard,0,86,83,86,169
427,male,group C,some high school,free/reduced,0,69,71,65,136
428,male,group A,some high school,free/reduced,0,65,59,53,112
429,male,group C,some high school,free/reduced,0,68,63,54,117
430,male,group C,associate's degree,free/reduced,0,64,66,59,125
431,female,group C,high school,standard,0,61,72,70,142
432,male,group C,high school,standard,0,61,56,55,111
433,female,group A,some high school,free/reduced,0,47,59,50,109
434,male,group C,some high school,standard,0,73,66,66,132
435,male,group C,some college,free/reduced,1,50,48,53,101
436,male,group D,associate's degree,standard,0,75,68,64,132
437,male,group D,associate's degree,free/reduced,0,75,66,73,139
438,male,group C,high school,standard,0,70,56,51,107
439,male,group D,some high school,standard,1,89,88,82,170
440,female,group C,some college,standard,1,67,81,79,160
441,female,group D,high school,standard,0,78,81,80,161
442,female,group A,some high school,free/reduced,0,59,73,69,142
443,female,group B,associate's degree,standard,0,73,83,76,159
444,male,group A,some high school,free/reduced,0,79,82,73,155
445,female,group C,some high school,standard,1,67,74,77,151
446,male,group D,some college,free/reduced,0,69,66,60,126
447,male,group C,high school,standard,1,86,81,80,161
448,male,group B,high school,standard,0,47,46,42,88
449,male,group B,associate's degree,standard,0,81,73,72,145
450,female,group C,some college,free/reduced,1,64,85,85,170
451,female,group E,some college,standard,0,100,92,97,189
452,female,group C,associate's degree,free/reduced,0,65,77,74,151
453,male,group C,some college,free/reduced,0,65,58,49,107
454,female,group C,associate's degree,free/reduced,0,53,61,62,123
455,male,group C,bachelor's degree,free/reduced,0,37,56,47,103
456,female,group D,bachelor's degree,standard,0,79,89,89,178
457,male,group D,associate's degree,free/reduced,0,53,54,48,102
458,female,group E,bachelor's degree,standard,0,100,100,100,200
459,male,group B,high school,standard,1,72,65,68,133
460,male,group C,bachelor's degree,free/reduced,0,53,58,55,113
461,male,group B,some college,free/reduced,0,54,54,45,99
462,female,group E,some college,standard,0,71,70,76,146
463,female,group C,some college,free/reduced,0,77,90,91,181
464,male,group A,bachelor's degree,standard,1,75,58,62,120
465,female,group C,some college,standard,0,84,87,91,178
466,female,group D,associate's degree,free/reduced,0,26,31,38,69
467,male,group A,high school,free/reduced,1,72,67,65,132
468,female,group A,high school,free/reduced,1,77,88,85,173
469,male,group C,some college,standard,0,91,74,76,150
470,female,group C,associate's degree,standard,1,83,85,90,175
471,female,group C,high school,standard,0,63,69,74,143
472,female,group C,associate's degree,standard,1,68,86,84,170
473,female,group D,some high school,standard,0,59,67,61,128
474,female,group B,associate's degree,standard,1,90,90,91,181
475,female,group D,bachelor's degree,standard,1,71,76,83,159
476,male,group E,bachelor's degree,standard,1,76,62,66,128
477,male,group D,associate's degree,standard,0,80,68,72,140
478,female,group D,master's degree,standard,0,55,64,70,134
479,male,group E,associate's degree,standard,0,76,71,67,138
480,male,group B,high school,standard,1,73,71,68,139
481,female,group D,associate's degree,free/reduced,0,52,59,56,115
482,male,group C,some college,free/reduced,0,68,68,61,129
483,male,group A,high school,standard,0,59,52,46,98
484,female,group B,associate's degree,standard,0,49,52,54,106
485,male,group C,high school,standard,0,70,74,71,145
486,male,group D,some college,free/reduced,0,61,47,56,103
487,female,group C,associate's degree,free/reduced,0,60,75,74,149
488,male,group B,some high school,standard,1,64,53,57,110
489,male,group A,associate's degree,free/reduced,1,79,82,82,164
490,female,group A,associate's degree,free/reduced,0,65,85,76,161
491,female,group C,associate's degree,standard,0,64,64,70,134
492,female,group C,some college,standard,0,83,83,90,173
493,female,group C,bachelor's degree,standard,0,81,88,90,178
494,female,group B,high school,standard,0,54,64,68,132
495,male,group D,high school,standard,1,68,64,66,130
496,female,group C,some college,standard,0,54,48,52,100
497,female,group D,some college,free/reduced,1,59,78,76,154
498,female,group B,some high school,standard,0,66,69,68,137
